Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,Final_Rolling_Performance,Num_Sell_Events,Total_Reset_Value,Portfolio_Weight,Sell_Events_Impact,Rolling_Performance_Track
CB,2025-01-01,269.3,-2.96,286.57,6.41,3.45,0,0.0,0.2,0.0,M1:-2.96% -> M2:3.45%
UPS,2025-01-01,110.74,-11.58,119.82,8.2,8.2,1,-11.58,0.19,-223.45,M1:-11.58% [SELL] -> M2:8.2%
ADI,2025-01-01,208.38,-2.88,231.84,11.26,8.38,0,0.0,0.19,0.0,M1:-2.88% -> M2:8.38%
MMC,2025-01-01,216.0,1.48,237.05,9.75,11.23,0,0.0,0.19,0.0,M1:1.48% -> M2:11.23%
MDT,2025-01-01,90.27,12.32,92.67,2.66,14.98,0,0.0,0.19,0.0,M1:12.32% -> M2:14.98%
VRTX,2025-01-01,463.36,14.94,477.82,3.12,18.06,0,0.0,0.18,0.0,M1:14.94% -> M2:18.06%
MU,2025-01-01,88.65,4.32,95.81,8.08,12.4,0,0.0,0.18,0.0,M1:4.32% -> M2:12.4%
SBUX,2025-01-01,105.15,15.47,116.04,10.36,25.83,0,0.0,0.18,0.0,M1:15.47% -> M2:25.83%
PLD,2025-01-01,116.03,9.06,124.16,7.01,16.07,0,0.0,0.17,0.0,M1:9.06% -> M2:16.07%
GEV,2025-01-01,350.34,5.27,334.7,-4.46,0.81,0,0.0,0.17,0.0,M1:5.27% -> M2:0.81%
LRCX,2025-01-01,78.73,8.61,77.94,-1.0,7.61,0,0.0,0.17,0.0,M1:8.61% -> M2:7.61%
MO,2025-01-01,52.0,-0.88,55.8,7.31,6.43,0,0.0,0.16,0.0,M1:-0.88% -> M2:6.43%
SO,2025-01-01,82.82,0.79,89.61,8.2,8.99,0,0.0,0.16,0.0,M1:0.79% -> M2:8.99%
EQIX,2025-01-01,906.44,-2.97,912.07,0.62,-2.35,0,0.0,0.16,0.0,M1:-2.97% -> M2:-2.35%
CRWD,2025-01-01,386.95,11.67,399.0,3.11,14.78,0,0.0,0.16,0.0,M1:11.67% -> M2:14.78%
